text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
如果您希望使用Python3.7.5版本：,8213,"[{""start"": 7, ""end"": 13, ""text"": ""Python"", ""labels"": [""TOO""]}, {""start"": 13, ""end"": 18, ""text"": ""3.7.5"", ""labels"": [""NUM""]}]",1,5944,2022-09-04T09:33:05.524438Z,2022-09-04T09:33:05.524438Z,17.424
根据您希望使用的Python版本创建对应的Conda虚拟环境并进入虚拟环境。,8211,"[{""start"": 8, ""end"": 14, ""text"": ""Python"", ""labels"": [""TOO""]}, {""start"": 21, ""end"": 26, ""text"": ""Conda"", ""labels"": [""TOO""]}]",1,5942,2022-09-04T09:32:47.061408Z,2022-09-04T09:32:47.061408Z,12.58
sudo apt-get install gcc-8 -y,8197,"[{""start"": 0, ""end"": 5, ""text"": ""sudo "", ""labels"": [""COM""]}, {""start"": 21, ""end"": 24, ""text"": ""gcc"", ""labels"": [""TOO""]}, {""start"": 25, ""end"": 27, ""text"": ""8 "", ""labels"": [""NUM""]}]",1,5928,2022-09-04T09:32:22.599963Z,2022-09-04T09:32:22.599963Z,22.004
如果要安装更高版本的GCC，使用以下命令安装GCC 8。,8194,"[{""start"": 18, ""end"": 20, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 22, ""end"": 26, ""text"": ""GCC "", ""labels"": [""TOO""]}, {""start"": 26, ""end"": 27, ""text"": ""8"", ""labels"": [""NUM""]}]",1,5925,2022-09-04T09:31:58.830816Z,2022-09-04T09:31:58.830816Z,25.151
sudo apt-get install gcc-7 libgmp-dev -y,8191,"[{""start"": 0, ""end"": 5, ""text"": ""sudo "", ""labels"": [""COM""]}, {""start"": 21, ""end"": 24, ""text"": ""gcc"", ""labels"": [""TOO""]}, {""start"": 25, ""end"": 27, ""text"": ""7 "", ""labels"": [""NUM""]}]",1,5922,2022-09-04T09:31:31.854283Z,2022-09-04T09:31:31.854283Z,21.4
可以通过以下命令安装GCC和gmp。,8188,"[{""start"": 6, ""end"": 8, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 10, ""end"": 13, ""text"": ""GCC"", ""labels"": [""TOO""]}, {""start"": 14, ""end"": 17, ""text"": ""gmp"", ""labels"": [""TOO""]}]",1,5919,2022-09-04T09:31:08.518169Z,2022-09-04T09:31:08.518169Z,16.711
安装完成后，可以为Conda设置清华源加速下载，参考[此处](https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/)。,8184,"[{""start"": 9, ""end"": 14, ""text"": ""Conda"", ""labels"": [""TOO""]}, {""start"": 16, ""end"": 19, ""text"": ""清华源"", ""labels"": [""NOU""]}, {""start"": 31, ""end"": 82, ""text"": ""https://mirrors.tuna.tsinghua.edu.cn/help/anaconda/"", ""labels"": [""LIN""]}]",1,5915,2022-09-04T09:30:48.278190Z,2022-09-04T09:30:48.278190Z,20.066
curl -O https://mirrors.tuna.tsinghua.edu.cn/anaconda/miniconda/Miniconda3-py37_4.10.3-Linux-x86_64.sh,8177,"[{""start"": 0, ""end"": 5, ""text"": ""curl "", ""labels"": [""COM""]}, {""start"": 54, ""end"": 63, ""text"": ""miniconda"", ""labels"": [""TOO""]}]",1,5908,2022-09-04T09:30:20.183860Z,2022-09-04T09:30:20.183860Z,11.29
执行以下指令安装Miniconda。,8173,"[{""start"": 4, ""end"": 6, ""text"": ""指令"", ""labels"": [""NOU""]}, {""start"": 8, ""end"": 17, ""text"": ""Miniconda"", ""labels"": [""TOO""]}]",1,5904,2022-09-04T09:30:06.133320Z,2022-09-04T09:30:06.133320Z,15.541
|[gmp](#安装gcc和gmp)|6.1.2|MindSpore使用的多精度算术库|,8167,"[{""start"": 10, ""end"": 13, ""text"": ""gcc"", ""labels"": [""TOO""]}, {""start"": 14, ""end"": 17, ""text"": ""gmp"", ""labels"": [""TOO""]}, {""start"": 19, ""end"": 24, ""text"": ""6.1.2"", ""labels"": [""NUM""]}, {""start"": 25, ""end"": 34, ""text"": ""MindSpore"", ""labels"": [""TOO""]}, {""start"": 37, ""end"": 43, ""text"": ""多精度算术库"", ""labels"": [""NOU""]}]",1,5898,2022-09-04T09:29:46.350593Z,2022-09-04T09:29:46.350593Z,31.053
|[GCC](#安装gcc和gmp)|7.3.0到9.4.0之间|用于编译MindSpore的C++编译器|,8166,"[{""start"": 10, ""end"": 13, ""text"": ""gcc"", ""labels"": [""TOO""]}, {""start"": 14, ""end"": 17, ""text"": ""gmp"", ""labels"": [""TOO""]}, {""start"": 19, ""end"": 24, ""text"": ""7.3.0"", ""labels"": [""NUM""]}, {""start"": 25, ""end"": 30, ""text"": ""9.4.0"", ""labels"": [""NUM""]}, {""start"": 37, ""end"": 46, ""text"": ""MindSpore"", ""labels"": [""TOO""]}, {""start"": 47, ""end"": 50, ""text"": ""C++"", ""labels"": [""TOO""]}]",1,5897,2022-09-04T09:29:15.023109Z,2022-09-04T09:29:15.023109Z,34.724
|Ubuntu|18.04|运行MindSpore的操作系统|,8164,"[{""start"": 16, ""end"": 25, ""text"": ""MindSpore"", ""labels"": [""TOO""]}, {""start"": 1, ""end"": 13, ""text"": ""Ubuntu|18.04"", ""labels"": [""SYS""]}]",1,5895,2022-09-04T09:28:34.157751Z,2022-09-04T09:28:34.157751Z,25.538
下表列出了安装MindSpore所需的系统环境和第三方依赖。,8160,"[{""start"": 19, ""end"": 23, ""text"": ""系统环境"", ""labels"": [""NOU""]}, {""start"": 27, ""end"": 29, ""text"": ""依赖"", ""labels"": [""NOU""]}, {""start"": 7, ""end"": 16, ""text"": ""MindSpore"", ""labels"": [""TOO""]}]",1,5891,2022-09-04T09:28:05.824169Z,2022-09-04T09:28:05.824169Z,28.993
要激活虚拟环境，以Python 3.7为例，执行以下命令。,8150,"[{""start"": 26, ""end"": 28, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 3, ""end"": 7, ""text"": ""虚拟环境"", ""labels"": [""NOU""]}, {""start"": 9, ""end"": 16, ""text"": ""Python "", ""labels"": [""TOO""]}, {""start"": 16, ""end"": 19, ""text"": ""3.7"", ""labels"": [""NUM""]}]",1,5881,2022-09-04T09:27:30.046430Z,2022-09-04T09:27:30.046430Z,21.127
自动安装脚本执行完成后，需要重新打开终端窗口以使环境变量生效。自动安装脚本会为MindSpore创建名为`mindspore_pyXX`的虚拟环境。其中`XX`为Python版本，如Python 3.7则虚拟环境名为`mindspore_py37`。执行以下命令查看所有虚拟环境。,8144,"[{""start"": 18, ""end"": 22, ""text"": ""终端窗口"", ""labels"": [""NOU""]}, {""start"": 24, ""end"": 28, ""text"": ""环境变量"", ""labels"": [""NOU""]}, {""start"": 35, ""end"": 37, ""text"": ""脚本"", ""labels"": [""NOU""]}, {""start"": 69, ""end"": 73, ""text"": ""虚拟环境"", ""labels"": [""NOU""]}, {""start"": 91, ""end"": 98, ""text"": ""Python "", ""labels"": [""TOO""]}, {""start"": 98, ""end"": 101, ""text"": ""3.7"", ""labels"": [""NUM""]}, {""start"": 129, ""end"": 131, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 135, ""end"": 139, ""text"": ""虚拟环境"", ""labels"": [""NOU""]}]",1,5875,2022-09-04T09:27:03.960637Z,2022-09-04T09:27:03.960637Z,51.066
- 通过Conda安装MindSpore CPU版本。,8142,"[{""start"": 4, ""end"": 9, ""text"": ""Conda"", ""labels"": [""TOO""]}, {""start"": 11, ""end"": 24, ""text"": ""MindSpore CPU"", ""labels"": [""TOO""]}]",1,5873,2022-09-04T09:26:11.895184Z,2022-09-04T09:26:11.895184Z,10.151
- 安装Conda并为MindSpore创建虚拟环境。,8141,"[{""start"": 4, ""end"": 9, ""text"": ""Conda"", ""labels"": [""TOO""]}, {""start"": 11, ""end"": 20, ""text"": ""MindSpore"", ""labels"": [""TOO""]}]",1,5872,2022-09-04T09:26:01.478327Z,2022-09-04T09:26:01.478327Z,12.7
- 安装MindSpore所需的依赖，如GCC，gmp。,8140,"[{""start"": 4, ""end"": 13, ""text"": ""MindSpore"", ""labels"": [""TOO""]}, {""start"": 20, ""end"": 23, ""text"": ""GCC"", ""labels"": [""TOO""]}, {""start"": 24, ""end"": 27, ""text"": ""gmp"", ""labels"": [""TOO""]}]",1,5871,2022-09-04T09:25:48.511809Z,2022-09-04T09:25:48.511809Z,14.836
# 如需指定Python和MindSpore版本，以Python 3.9和MindSpore 1.6.0为例，使用以下方式,8133,"[{""start"": 26, ""end"": 33, ""text"": ""Python "", ""labels"": [""TOO""]}, {""start"": 33, ""end"": 36, ""text"": ""3.9"", ""labels"": [""NUM""]}, {""start"": 47, ""end"": 52, ""text"": ""1.6.0"", ""labels"": [""NUM""]}, {""start"": 37, ""end"": 47, ""text"": ""MindSpore "", ""labels"": [""TOO""]}]",1,5864,2022-09-04T09:25:26.851765Z,2022-09-04T09:25:26.851765Z,18.903
# 默认安装Python 3.7和最新版本的MindSpore,8131,"[{""start"": 6, ""end"": 13, ""text"": ""Python "", ""labels"": [""TOO""]}, {""start"": 13, ""end"": 16, ""text"": ""3.7"", ""labels"": [""NUM""]}]",1,5862,2022-09-04T09:25:06.149824Z,2022-09-04T09:25:06.149824Z,12.491
wget https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/ubuntu-cpu-conda.sh,8130,"[{""start"": 0, ""end"": 5, ""text"": ""wget "", ""labels"": [""COM""]}, {""start"": 23, ""end"": 32, ""text"": ""mindspore"", ""labels"": [""TOO""]}, {""start"": 33, ""end"": 42, ""text"": ""mindspore"", ""labels"": [""TOO""]}]",1,5861,2022-09-04T09:24:53.383582Z,2022-09-04T09:24:53.383582Z,17.671
自动安装脚本需要更改软件源配置以及通过APT安装依赖，所以在执行中需要申请root权限。使用以下命令获取自动安装脚本并执行。自动安装脚本仅支持安装MindSpore>=1.6.0。,8127,"[{""start"": 37, ""end"": 41, ""text"": ""root"", ""labels"": [""PER""]}, {""start"": 41, ""end"": 43, ""text"": ""权限"", ""labels"": [""NOU""]}, {""start"": 48, ""end"": 50, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 56, ""end"": 58, ""text"": ""脚本"", ""labels"": [""NOU""]}, {""start"": 66, ""end"": 68, ""text"": ""脚本"", ""labels"": [""NOU""]}, {""start"": 73, ""end"": 82, ""text"": ""MindSpore"", ""labels"": [""TOO""]}, {""start"": 84, ""end"": 89, ""text"": ""1.6.0"", ""labels"": [""NUM""]}]",1,5858,2022-09-04T09:24:33.834233Z,2022-09-04T09:24:33.834233Z,66.528
- 如果您的系统已经安装了部分依赖，如Conda，GCC等，则推荐参照[手动安装](#手动安装)小节的安装步骤手动安装。,8123,"[{""start"": 15, ""end"": 17, ""text"": ""依赖"", ""labels"": [""NOU""]}, {""start"": 19, ""end"": 24, ""text"": ""Conda"", ""labels"": [""TOO""]}, {""start"": 25, ""end"": 28, ""text"": ""GCC"", ""labels"": [""TOO""]}]",1,5854,2022-09-04T09:23:24.633135Z,2022-09-04T09:23:24.633135Z,19.115
- 如果您想在一个全新的Ubuntu 18.04上通过Conda安装MindSpore，可以使用[自动安装脚本](https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/ubuntu-cpu-conda.sh)进行一键式安装，参见[自动安装](#自动安装)小节。自动安装脚本会安装MindSpore及其所需的依赖。,8121,"[{""start"": 27, ""end"": 32, ""text"": ""Conda"", ""labels"": [""NOU""]}, {""start"": 34, ""end"": 43, ""text"": ""MindSpore"", ""labels"": [""TOO""]}, {""start"": 53, ""end"": 55, ""text"": ""脚本"", ""labels"": [""NOU""]}, {""start"": 57, ""end"": 139, ""text"": ""https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/ubuntu-cpu-conda.sh"", ""labels"": [""LIN""]}, {""start"": 170, ""end"": 172, ""text"": ""脚本"", ""labels"": [""NOU""]}, {""start"": 175, ""end"": 184, ""text"": ""MindSpore"", ""labels"": [""TOO""]}]",1,5852,2022-09-04T09:23:04.264255Z,2022-09-04T09:23:04.264255Z,38.096
本文档介绍如何在CPU环境的Linux系统上，使用Conda方式快速安装MindSpore。下面以Ubuntu 18.04为例说明MindSpore安装步骤。,8119,"[{""start"": 14, ""end"": 19, ""text"": ""Linux"", ""labels"": [""SYS""]}, {""start"": 8, ""end"": 11, ""text"": ""CPU"", ""labels"": [""NOU""]}, {""start"": 25, ""end"": 32, ""text"": ""Conda方式"", ""labels"": [""MET""]}, {""start"": 36, ""end"": 45, ""text"": ""MindSpore"", ""labels"": [""TOO""]}, {""start"": 49, ""end"": 61, ""text"": ""Ubuntu 18.04"", ""labels"": [""SYS""]}, {""start"": 65, ""end"": 74, ""text"": ""MindSpore"", ""labels"": [""TOO""]}]",1,5850,2022-09-04T09:22:24.848446Z,2022-09-04T09:22:24.848446Z,35.478
[Conda](https://docs.conda.io/en/latest/)是一个开源跨平台语言无关的包管理与环境管理系统，允许用户方便地安装不同版本的二进制软件包与该计算平台需要的所有库。,8117,"[{""start"": 1, ""end"": 6, ""text"": ""Conda"", ""labels"": [""TOO""]}, {""start"": 8, ""end"": 40, ""text"": ""https://docs.conda.io/en/latest/"", ""labels"": [""LIN""]}, {""start"": 67, ""end"": 69, ""text"": ""用户"", ""labels"": [""PER""]}, {""start"": 79, ""end"": 85, ""text"": ""二进制软件包"", ""labels"": [""TOO""]}]",1,5848,2022-09-04T09:21:48.240249Z,2022-09-04T09:21:48.240249Z,27.713
- [Conda方式安装MindSpore CPU版本](#conda方式安装mindspore-cpu版本),8103,"[{""start"": 3, ""end"": 10, ""text"": ""Conda方式"", ""labels"": [""MET""]}, {""start"": 12, ""end"": 25, ""text"": ""MindSpore CPU"", ""labels"": [""TOO""]}, {""start"": 39, ""end"": 52, ""text"": ""mindspore-cpu"", ""labels"": [""TOO""]}, {""start"": 30, ""end"": 37, ""text"": ""conda方式"", ""labels"": [""MET""]}]",1,5834,2022-09-04T09:21:08.433180Z,2022-09-04T09:21:08.433180Z,28.601
# Conda方式安装MindSpore CPU版本,8099,"[{""start"": 1, ""end"": 9, ""text"": "" Conda方式"", ""labels"": [""MET""]}, {""start"": 11, ""end"": 24, ""text"": ""MindSpore CPU"", ""labels"": [""TOO""]}]",1,5830,2022-09-04T09:20:36.948312Z,2022-09-04T09:20:36.948312Z,6.077
安装好MindSpore之后，需要导出Runtime相关环境变量，下述命令中`LOCAL_ASCEND=/usr/local/Ascend`的`/usr/local/Ascend`表示配套软件包的安装路径，需注意将其改为配套软件包的实际安装路径。,8025,"[{""start"": 19, ""end"": 26, ""text"": ""Runtime"", ""labels"": [""NOU""]}, {""start"": 28, ""end"": 32, ""text"": ""环境变量"", ""labels"": [""NOU""]}]",1,5755,2022-09-04T09:19:34.513003Z,2022-09-04T09:19:34.513003Z,17.604
进入MindSpore根目录，然后执行编译脚本。,8004,"[{""start"": 21, ""end"": 23, ""text"": ""脚本"", ""labels"": [""NOU""]}, {""start"": 2, ""end"": 11, ""text"": ""MindSpore"", ""labels"": [""TOO""]}]",1,5734,2022-09-04T09:18:58.752167Z,2022-09-04T09:18:58.752167Z,13.771
git clone https://gitee.com/mindspore/mindspore.git -b r1.7,7999,"[{""start"": 0, ""end"": 4, ""text"": ""git "", ""labels"": [""NOU""]}, {""start"": 28, ""end"": 37, ""text"": ""mindspore"", ""labels"": [""TOO""]}]",1,5729,2022-09-04T09:18:41.920130Z,2022-09-04T09:18:41.920130Z,14.585
## 从代码仓下载源码,7996,"[{""start"": 4, ""end"": 6, ""text"": ""代码"", ""labels"": [""NOU""]}, {""start"": 9, ""end"": 11, ""text"": ""源码"", ""labels"": [""NOU""]}]",1,5726,2022-09-04T09:18:25.144499Z,2022-09-04T09:18:25.145499Z,12.173
    sudo bash cmake-3.19.8-Linux-*.sh --prefix=/usr/local/cmake-3.19.8 --exclude-subdir,7986,"[{""start"": 4, ""end"": 9, ""text"": ""sudo "", ""labels"": [""COM""]}, {""start"": 14, ""end"": 19, ""text"": ""cmake"", ""labels"": [""TOO""]}, {""start"": 20, ""end"": 26, ""text"": ""3.19.8"", ""labels"": [""NUM""]}]",1,5716,2022-09-04T09:18:05.969057Z,2022-09-04T09:18:05.969057Z,20.926
    sudo mkdir /usr/local/cmake-3.19.8,7985,"[{""start"": 4, ""end"": 9, ""text"": ""sudo "", ""labels"": [""COM""]}, {""start"": 26, ""end"": 31, ""text"": ""cmake"", ""labels"": [""TOO""]}, {""start"": 32, ""end"": 38, ""text"": ""3.19.8"", ""labels"": [""NUM""]}]",1,5715,2022-09-04T09:17:44.770818Z,2022-09-04T09:17:44.770818Z,27.124
    执行安装脚本安装CMake，默认安装到`/usr/local`目录下。,7982,"[{""start"": 8, ""end"": 10, ""text"": ""脚本"", ""labels"": [""NOU""]}, {""start"": 12, ""end"": 17, ""text"": ""CMake"", ""labels"": [""TOO""]}]",1,5712,2022-09-04T09:17:15.410500Z,2022-09-04T09:17:15.410500Z,1373.611
    curl -O https://cmake.org/files/v3.19/cmake-3.19.8-Linux-aarch64.sh,7979,"[{""start"": 4, ""end"": 9, ""text"": ""curl "", ""labels"": [""COM""]}, {""start"": 20, ""end"": 25, ""text"": ""cmake"", ""labels"": [""TOO""]}]",1,5709,2022-09-04T08:54:19.949703Z,2022-09-04T08:54:19.949703Z,10.915
    # aarch64使用,7978,"[{""start"": 5, ""end"": 11, ""text"": "" aarch"", ""labels"": [""TOO""]}, {""start"": 11, ""end"": 13, ""text"": ""64"", ""labels"": [""NUM""]}]",1,5708,2022-09-04T08:54:08.775355Z,2022-09-04T08:54:08.775355Z,13.307
    curl -O https://cmake.org/files/v3.19/cmake-3.19.8-Linux-x86_64.sh,7977,"[{""start"": 4, ""end"": 9, ""text"": ""curl "", ""labels"": [""COM""]}, {""start"": 20, ""end"": 25, ""text"": ""cmake"", ""labels"": [""TOO""]}]",1,5707,2022-09-04T08:53:55.206385Z,2022-09-04T08:53:55.206385Z,10.812
- Ubuntu 18.04可以通过以下命令安装[CMake](https://cmake.org/)。,7963,"[{""start"": 25, ""end"": 30, ""text"": ""CMake"", ""labels"": [""TOO""]}, {""start"": 32, ""end"": 50, ""text"": ""https://cmake.org/"", ""labels"": [""LIN""]}]",1,5693,2022-09-04T08:53:27.129784Z,2022-09-04T08:53:27.129784Z,11.536
    安装完成后，需要使用如下命令切换到GCC 7。,7935,"[{""start"": 16, ""end"": 18, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 21, ""end"": 25, ""text"": ""GCC "", ""labels"": [""TOO""]}, {""start"": 25, ""end"": 26, ""text"": ""7"", ""labels"": [""NUM""]}]",1,5665,2022-09-04T08:52:52.822802Z,2022-09-04T08:52:52.822802Z,22.07
    sudo apt-get install gcc-7 -y,7925,"[{""start"": 4, ""end"": 9, ""text"": ""sudo "", ""labels"": [""COM""]}, {""start"": 25, ""end"": 28, ""text"": ""gcc"", ""labels"": [""TOO""]}, {""start"": 29, ""end"": 31, ""text"": ""7 "", ""labels"": [""NUM""]}]",1,5655,2022-09-04T08:52:22.168205Z,2022-09-04T08:52:22.168205Z,22.424
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/hccl-*-py3-none-any.whl,7917,"[{""start"": 0, ""end"": 11, ""text"": ""pip install"", ""labels"": [""COM""]}, {""start"": 23, ""end"": 29, ""text"": ""Ascend"", ""labels"": [""TOO""]}]",1,5647,2022-09-04T08:51:54.007879Z,2022-09-04T08:51:54.007879Z,13.071
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/te-*-py3-none-any.whl,7916,"[{""start"": 0, ""end"": 11, ""text"": ""pip install"", ""labels"": [""COM""]}, {""start"": 23, ""end"": 29, ""text"": ""Ascend"", ""labels"": [""TOO""]}]",1,5646,2022-09-04T08:51:40.664487Z,2022-09-04T08:51:40.664487Z,10.685
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/topi-*-py3-none-any.whl,7915,"[{""start"": 0, ""end"": 12, ""text"": ""pip install "", ""labels"": [""COM""]}, {""start"": 23, ""end"": 29, ""text"": ""Ascend"", ""labels"": [""TOO""]}]",1,5645,2022-09-04T08:51:29.719331Z,2022-09-04T08:51:29.719331Z,18.31
安装昇腾AI处理器配套软件包提供的whl包，whl包随配套软件包发布。如果之前安装过昇腾AI处理器配套软件包，需要先使用如下命令卸载相应的包。,7906,"[{""start"": 2, ""end"": 14, ""text"": ""昇腾AI处理器配套软件包"", ""labels"": [""TOO""]}, {""start"": 17, ""end"": 20, ""text"": ""whl"", ""labels"": [""TOO""]}, {""start"": 62, ""end"": 64, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 42, ""end"": 54, ""text"": ""昇腾AI处理器配套软件包"", ""labels"": [""TOO""]}]",1,5636,2022-09-04T08:51:02.462257Z,2022-09-04T08:51:02.463274Z,24.174
安装包默认安装路径为`/usr/local/Ascend`。安装后确认当前用户有权限访问昇腾AI处理器配套软件包的安装路径，若无权限，需要root用户将当前用户添加到`/usr/local/Ascend`所在的用户组。,7904,"[{""start"": 37, ""end"": 39, ""text"": ""用户"", ""labels"": [""PER""]}, {""start"": 40, ""end"": 42, ""text"": ""权限"", ""labels"": [""NOU""]}, {""start"": 44, ""end"": 56, ""text"": ""昇腾AI处理器配套软件包"", ""labels"": [""TOO""]}, {""start"": 64, ""end"": 66, ""text"": ""权限"", ""labels"": [""NOU""]}, {""start"": 69, ""end"": 75, ""text"": ""root用户"", ""labels"": [""PER""]}, {""start"": 78, ""end"": 80, ""text"": ""用户"", ""labels"": [""PER""]}]",1,5634,2022-09-04T08:50:36.852670Z,2022-09-04T08:50:36.852670Z,84.053
详细安装方法请参考[Ascend Data Center Solution 22.0.RC1安装指引文档](https://support.huawei.com/enterprise/zh/doc/EDOC1100246310)。,7902,"[{""start"": 10, ""end"": 37, ""text"": ""Ascend Data Center Solution"", ""labels"": [""TOO""]}, {""start"": 38, ""end"": 42, ""text"": ""22.0"", ""labels"": [""NUM""]}, {""start"": 54, ""end"": 113, ""text"": ""https://support.huawei.com/enterprise/zh/doc/EDOC1100246310"", ""labels"": [""LIN""]}]",1,5632,2022-09-04T08:49:11.643100Z,2022-09-04T08:49:11.643100Z,23.348
可以通过以下命令查看Python版本。,7894,"[{""start"": 6, ""end"": 8, ""text"": ""命令"", ""labels"": [""NOU""]}, {""start"": 16, ""end"": 18, ""text"": ""版本"", ""labels"": [""NOU""]}]",1,5624,2022-09-04T08:48:40.424717Z,2022-09-04T08:48:40.424717Z,12.563
